feature_name,feature_importance,sensor,agg,axis
"tBodyAcc-correlation()-X,Z",0.0018168659927799476,tBodyAcc,correlation(),"X,Z"
fBodyAccJerk-maxInds-X,0.0017621353453894412,fBodyAccJerk,maxInds,X
"fBodyAccJerk-bandsEnergy()-17,24.1",0.0017441155018703028,fBodyAccJerk,bandsEnergy(),"17,24.1"
tBodyGyroJerk-mad()-X,0.0017439207168193794,tBodyGyroJerk,mad(),X
"fBodyGyro-bandsEnergy()-1,24",0.0017097663312166565,fBodyGyro,bandsEnergy(),"1,24"
"fBodyGyro-bandsEnergy()-1,24",0.0017097663312166565,fBodyGyro,bandsEnergy(),"1,24"
"fBodyGyro-bandsEnergy()-1,24",0.0017097663312166565,fBodyGyro,bandsEnergy(),"1,24"
tBodyGyro-max()-X,0.0016374220802771058,tBodyGyro,max(),X
tBodyAccMag-arCoeff()2,0.0016270532224713133,tBodyAccMag,arCoeff()2,
"fBodyAcc-bandsEnergy()-1,8.1",0.0015515941281945764,fBodyAcc,bandsEnergy(),"1,8.1"
"tBodyGyro-arCoeff()-X,1",0.0014981607307356785,tBodyGyro,arCoeff(),"X,1"
"fBodyGyro-bandsEnergy()-9,16",0.0014668262958435106,fBodyGyro,bandsEnergy(),"9,16"
"fBodyGyro-bandsEnergy()-9,16",0.0014668262958435106,fBodyGyro,bandsEnergy(),"9,16"
"fBodyGyro-bandsEnergy()-9,16",0.0014668262958435106,fBodyGyro,bandsEnergy(),"9,16"
tBodyGyro-std()-X,0.001446913708399898,tBodyGyro,std(),X
tBodyGyro-mean()-X,0.0014163922398161188,tBodyGyro,mean(),X
tGravityAccMag-iqr(),0.0013940417672317934,tGravityAccMag,iqr(),
"fBodyGyro-bandsEnergy()-1,16",0.0013834199279286795,fBodyGyro,bandsEnergy(),"1,16"
"fBodyGyro-bandsEnergy()-1,16",0.0013834199279286795,fBodyGyro,bandsEnergy(),"1,16"
"fBodyGyro-bandsEnergy()-1,16",0.0013834199279286795,fBodyGyro,bandsEnergy(),"1,16"
fBodyGyro-max()-X,0.00137405228450899,fBodyGyro,max(),X
tBodyGyro-entropy()-X,0.0013659009827625104,tBodyGyro,entropy(),X
fBodyAcc-skewness()-Y,0.0013570154578897878,fBodyAcc,skewness(),Y
tGravityAccMag-sma(),0.001337435940002308,tGravityAccMag,sma(),
tGravityAcc-std()-Y,0.0013356082132601173,tGravityAcc,std(),Y
"fBodyGyro-bandsEnergy()-1,8.2",0.0012917302248001876,,,
tBodyAcc-mad()-X,0.0012548788024687174,tBodyAcc,mad(),X
tBodyGyroJerk-min()-X,0.001220190605153646,tBodyGyroJerk,min(),X
fBodyAccMag-iqr(),0.0012107855737604866,fBodyAccMag,iqr(),
"fBodyAccJerk-bandsEnergy()-17,32.2",0.0011960554015511828,fBodyAccJerk,bandsEnergy(),"17,32.2"
tBodyAcc-iqr()-X,0.001184255095454892,tBodyAcc,iqr(),X
tBodyGyro-energy()-X,0.0011748166792369074,tBodyGyro,energy(),X
fBodyAccMag-entropy(),0.0011606400165699085,fBodyAccMag,entropy(),
fBodyBodyGyroJerkMag-max(),0.0011038592319265667,fBodyBodyGyroJerkMag,max(),
"fBodyAccJerk-bandsEnergy()-17,24.2",0.0010271701681300865,fBodyAccJerk,bandsEnergy(),"17,24.2"
"tBodyGyro-correlation()-Y,Z",0.0010078229929425325,tBodyGyro,correlation(),"Y,Z"
tGravityAccMag-arCoeff()2,0.001007409111981286,tGravityAccMag,arCoeff()2,
tGravityAcc-std()-X,0.001001215329169326,tGravityAcc,std(),X
"fBodyGyro-bandsEnergy()-1,8.1",0.000997883579970238,,,
tBodyAcc-sma(),0.0009902296771334617,tBodyAcc,sma(),
"tBodyGyroJerk-correlation()-X,Y",0.0009862568570459512,tBodyGyroJerk,correlation(),"X,Y"
fBodyBodyGyroMag-maxInds,0.0009596132765983309,fBodyBodyGyroMag,maxInds,
tBodyGyroJerkMag-energy(),0.0009527166322605121,tBodyGyroJerkMag,energy(),
"tBodyGyro-correlation()-X,Y",0.0009526202828017055,tBodyGyro,correlation(),"X,Y"
tBodyGyro-iqr()-Z,0.0009348184873517909,tBodyGyro,iqr(),Z
fBodyGyro-entropy()-X,0.0009155766742959174,fBodyGyro,entropy(),X
"fBodyAcc-bandsEnergy()-17,24.1",0.0009062388180647153,fBodyAcc,bandsEnergy(),"17,24.1"
tBodyAccJerk-entropy()-Z,0.0009040827040386165,tBodyAccJerk,entropy(),Z
